,lat,lon,street,city,province,postal_code,style,price,number_of_beds,number_of_baths,extra_space
75,43.225693,-79.976692,175 Fiddlers Green Road|Unit #50,Ancaster,Ontario,L9G 3K9,Townhouse,829000,2,2,1
76,44.241045,-77.358813,38 SCENIC Drive,Belleville,Ontario,K8N 0C2,Townhouse,809900,3,3,1
77,43.8801166,-79.4392925,123 WILDWOOD   AVE,Richmond Hill,Ontario,L4E 3B6,Townhouse,800000,2,1,0
78,43.7941544,-79.5268023,#112 -24 WOODSTREAM BLVD,Vaughan,Ontario,L4L 8C4,Townhouse,799999,2,3,1
79,43.3248924,-79.7966835,#25 -2015 CLEAVER AVE,Burlington,Ontario,L7M 4J7,Townhouse,799900,2,3,0
80,44.3893113,-79.6901736,18 CASSANDRA DR W,Barrie,Ontario,L4M 6Z3,Townhouse,799900,4,3,0
81,43.1931661,-79.560677,12 Toe Blake Court,Grimsby,Ontario,L3M 0H8,Townhouse,799900,3,3,0
82,43.3600536,-80.3123023,#19 -143 RIDGE RD,Cambridge,Ontario,N3E 0E1,Townhouse,790000,3,3,0
83,43.8975558,-78.8635324,2562 LARIDA PATH,Oshawa,Ontario,L1L 0P9,Townhouse,779000,4,3,1
84,45.4208777,-75.6901106,410 ABBEYDALE CIRCLE,Ottawa,Ontario,K2K 0E8,Townhouse,768000,3,4,0
85,45.0570769,-77.8537127,42 BANCROFT RIDGE DR,Bancroft,Ontario,K0L 1C0,Townhouse,759900,3,2,0
86,43.5896231,-79.6443879,#138 -2315 BROMSGROVE RD,Mississauga,Ontario,L5J 4A6,Townhouse,749000,3,4,1
87,45.3128048,-75.8940505,1 BYLOT COURT,Kanata,Ontario,K2L 2V3,Townhouse,733000,3,3,0
88,44.3596825,-78.7421729,5 LIME ST,Kawartha Lakes,Ontario,K0M 1K0,Townhouse,725000,4,2,0
89,44.35012,-78.73286,43 LUCAS Crescent,Lindsay,Ontario,K9V 0C6,Detached,719900,4,4,1
90,42.986695,-81.182819,1545 GORE RD,London,Ontario,N5W 1T9,Detached,699900,5,1,0
91,44.0422275,-77.7370071,2 SINGLETON ST,Brighton,Ontario,K0K 1H0,Detached,699000,3,2,0
92,43.8505287,-79.0208814,273 MONARCH AVE,Ajax,Ontario,L1S 0C2,Townhouse,698000,3,3,0
93,45.4208777,-75.6901106,4344 WILDMINT SQUARE,Ottawa,Ontario,K1V 1N5,Townhouse,697880,3,3,0
94,44.7438271,-81.1408154,771 GOULD Street,Wiarton,Ontario,N0H 2T0,Detached,689900,2,1,0
95,43.012513,-81.230204,27A EMPIRE ST,London,Ontario,N5Y 1G6,Detached,669000,3,2,1
96,42.8387232,-80.63686805,4915 HWY 59 S,Norfolk,Ontario,N0J 1E0,Detached,659900,3,2,1
97,44.7243912,-80.9316713,319921 KEMBLE ROCK Road,Kemble,Ontario,N0H 1S0,Detached,649900,3,2,0
98,43.2560802,-79.8728583,#20 -40 SUMMERCREST DR,Hamilton,Ontario,L8K 6M5,Townhouse,649900,3,2,0
99,44.7207522,-76.924124,1021 STOLL Lane,Arden,Ontario,K0H 1B0,Detached,649900,3,1,0
100,42.403594,-82.188613,20 Betty COURT,Chatham,Ontario,N7M 0T9,Townhouse,649900,4,3,0
101,44.5224813,-80.0203156,97 NEW YORK AVE,Wasaga Beach,Ontario,L9Z 3A8,Detached,649500,2,2,0
102,45.4208777,-75.6901106,111 QUEENSBURY DRIVE,Ottawa,Ontario,K2J 4P2,Detached,645900,3,2,0
103,44.1088502,-79.1226768,708 REGIONAL RD 13 RD,Uxbridge,Ontario,L0C 1C0,Detached,629000,2,1,0
104,45.4208777,-75.6901106,161 LERTA WAY,Ottawa,Ontario,K4A 0W5,Detached,619900,3,3,0
105,45.4208777,-75.6901106,143 GLADEVIEW PRIVATE,Ottawa,Ontario,K1T 4C4,Detached,619900,2,3,1
106,44.3893113,-79.6901736,#10 -57 FERNDALE DR S,Barrie,Ontario,L4N 5W9,Townhouse,619000,3,3,0
107,44.3893113,-79.6901736,73 COURTNEY CRES,Barrie,Ontario,L4N 5S8,Townhouse,614900,2,2,0
108,43.738576,-79.468834,#1 -169 WILLIAM DUNCAN RD,Toronto,Ontario,M3K 0B8,Townhouse,599000,2,1,1
109,43.1408157,-80.2631733,66 MUNRO CIRC,Brantford,Ontario,N3T 0R5,Townhouse,599000,3,3,0
110,44.2019073,-77.8868553,43 HUTCHINSON Court,Warkworth,Ontario,K0K 3K0,Detached,599000,2,2,1
111,45.4208777,-75.6901106,267 MONACO PLACE,Ottawa,Ontario,K4A 0G6,Detached,579999,3,3,0
112,45.041406,-74.733993,2199 BURKE AVENUE,Cornwall,Ontario,K6H 0H5,Detached,579000,2,2,1
113,43.451291,-80.4927815,9 ROBERTS CRES,Kitchener,Ontario,N2E 1A6,Semi-Detached,575000,3,2,0
114,44.34768505,-79.10016490761303,B28700 HWY 12,Brock,Ontario,L0K 1A0,Detached,559900,3,1,0
115,44.5053083,-77.4726069,630 QUIN MO LAC Road,Madoc,Ontario,K0K 2K0,Detached,550000,3,2,0
116,45.821328,-77.110488,21 BARRY STREET,Pembroke,Ontario,K8A 7L6,Detached,550000,3,2,0
117,44.3945886,-80.7952482,777034 10 Highway,Holland Centre,Ontario,N0H 1R0,Detached,549900,2,1,0
118,42.1013315,-83.1086458,30 BRUSH,Amherstburg,Ontario,N9V 3Y4,Detached,549900,3,2,0
119,45.1403366,-76.1465672,35 RIDDELL STREET,Carleton Place,Ontario,K7C 3P2,Townhouse,529900,3,4,0
120,42.9922181,-79.2484192,143 Commercial Street,Welland,Ontario,L3B 5Z2,Semi-Detached,499900,3,2,0
121,44.8240917,-76.0922993,38 R6 ROAD,Lombardy,Ontario,K0G 1L0,Detached,499900,2,1,0
122,44.6250121,-77.7239592234209,3 TECUMSEH ST,Marmora and Lake,Ontario,K0K 2M0,Detached,499900,3,1,0
123,42.986695,-81.182819,482 HALE ST,London,Ontario,N5W 1G4,Detached,450000,2,1,1
124,43.2560802,-79.8728583,74 ELLIS Avenue|Unit #4,Hamilton,Ontario,L8H 4L9,Semi-Detached,447400,2,1,0
125,45.6276233,-76.8790385,270 MANSEL HILL ROAD,Cobden,Ontario,K0J 1K0,Detached,439000,3,1,0
126,44.5678105,-80.9430094,1610 7TH Avenue E,Owen Sound,Ontario,N4K 2Z4,Detached,420000,3,2,0
127,43.2560802,-79.8728583,137 Cathcart Street,Hamilton,Ontario,L8L 5A1,Townhouse,400000,2,3,1
128,42.969292,-81.20529,#132 -690 LITTLE GREY ST,London,Ontario,N5Z 4M9,Townhouse,399900,4,2,0
129,42.9922181,-79.2484192,121 Regent Street,Welland,Ontario,L3B 4H7,Detached,399900,4,2,0
130,43.8975558,-78.8635324,#91 -1760 SIMCOE ST N,Oshawa,Ontario,L1G 4S1,Townhouse,399000,3,3,0
131,45.4208777,-75.6901106,920 DYNES ROAD UNIT#59,Ottawa,Ontario,K2C 0G8,Townhouse,399000,3,3,1
132,42.363585,-82.177131,101 Raleigh STREET,Chatham,Ontario,N7M 2N1,Detached,349900,3,1,0
133,44.210386,-77.306575,175 HERCHIMER Avenue,Belleville,Ontario,K8N 4G7,Detached,344900,2,1,0
